image_path,class_name,stem
data\raw\kaggle\Normal\Normal- (3467).jpg,Normal,Normal- (3467)
data\raw\kaggle\Normal\Normal- (3287).jpg,Normal,Normal- (3287)
data\raw\kaggle\Normal\Normal- (1364).jpg,Normal,Normal- (1364)
data\raw\kaggle\Normal\Normal- (2634).jpg,Normal,Normal- (2634)
data\raw\kaggle\Normal\Normal- (4455).jpg,Normal,Normal- (4455)
data\raw\kaggle\Normal\Normal- (4933).jpg,Normal,Normal- (4933)
data\raw\kaggle\Normal\Normal- (3167).jpg,Normal,Normal- (3167)
data\raw\kaggle\Normal\Normal- (1754).jpg,Normal,Normal- (1754)
data\raw\kaggle\Normal\Normal- (1910).jpg,Normal,Normal- (1910)
data\raw\kaggle\Normal\Normal- (4770).jpg,Normal,Normal- (4770)
data\raw\kaggle\Normal\Normal- (4662).jpg,Normal,Normal- (4662)
data\raw\kaggle\Normal\Normal- (488).jpg,Normal,Normal- (488)
data\raw\kaggle\Normal\Normal- (2272).jpg,Normal,Normal- (2272)
data\raw\kaggle\Normal\Normal- (1712).jpg,Normal,Normal- (1712)
data\raw\kaggle\Normal\Normal- (4913).jpg,Normal,Normal- (4913)
data\raw\kaggle\Normal\Normal- (181).jpg,Normal,Normal- (181)
data\raw\kaggle\Normal\Normal- (630).jpg,Normal,Normal- (630)
data\raw\kaggle\Normal\Normal- (2665).jpg,Normal,Normal- (2665)
data\raw\kaggle\Normal\Normal- (942).jpg,Normal,Normal- (942)
data\raw\kaggle\Normal\Normal- (2296).jpg,Normal,Normal- (2296)
data\raw\kaggle\Normal\Normal- (1165).jpg,Normal,Normal- (1165)
data\raw\kaggle\Normal\Normal- (2330).jpg,Normal,Normal- (2330)
data\raw\kaggle\Normal\Normal- (4549).jpg,Normal,Normal- (4549)
data\raw\kaggle\Normal\Normal- (543).jpg,Normal,Normal- (543)
data\raw\kaggle\Normal\Normal- (189).jpg,Normal,Normal- (189)
data\raw\kaggle\Normal\Normal- (577).jpg,Normal,Normal- (577)
data\raw\kaggle\Normal\Normal- (4674).jpg,Normal,Normal- (4674)
data\raw\kaggle\Normal\Normal- (2756).jpg,Normal,Normal- (2756)
data\raw\kaggle\Normal\Normal- (3622).jpg,Normal,Normal- (3622)
data\raw\kaggle\Normal\Normal- (1308).jpg,Normal,Normal- (1308)
data\raw\kaggle\Normal\Normal- (4640).jpg,Normal,Normal- (4640)
data\raw\kaggle\Normal\Normal- (3566).jpg,Normal,Normal- (3566)
data\raw\kaggle\Normal\Normal- (4102).jpg,Normal,Normal- (4102)
data\raw\kaggle\Normal\Normal- (2492).jpg,Normal,Normal- (2492)
data\raw\kaggle\Normal\Normal- (647).jpg,Normal,Normal- (647)
data\raw\kaggle\Normal\Normal- (1052).jpg,Normal,Normal- (1052)
data\raw\kaggle\Normal\Normal- (236).jpg,Normal,Normal- (236)
data\raw\kaggle\Normal\Normal- (3083).jpg,Normal,Normal- (3083)
data\raw\kaggle\Normal\Normal- (3357).jpg,Normal,Normal- (3357)
data\raw\kaggle\Normal\Normal- (59).jpg,Normal,Normal- (59)
data\raw\kaggle\Normal\Normal- (407).jpg,Normal,Normal- (407)
data\raw\kaggle\Normal\Normal- (4764).jpg,Normal,Normal- (4764)
data\raw\kaggle\Normal\Normal- (77).jpg,Normal,Normal- (77)
data\raw\kaggle\Normal\Normal- (388).jpg,Normal,Normal- (388)
data\raw\kaggle\Normal\Normal- (3200).jpg,Normal,Normal- (3200)
data\raw\kaggle\Normal\Normal- (970).jpg,Normal,Normal- (970)
data\raw\kaggle\Normal\Normal- (2120).jpg,Normal,Normal- (2120)
data\raw\kaggle\Normal\Normal- (2356).jpg,Normal,Normal- (2356)
data\raw\kaggle\Normal\Normal- (1367).jpg,Normal,Normal- (1367)
data\raw\kaggle\Normal\Normal- (4517).jpg,Normal,Normal- (4517)
data\raw\kaggle\Normal\Normal- (2238).jpg,Normal,Normal- (2238)
data\raw\kaggle\Normal\Normal- (4963).jpg,Normal,Normal- (4963)
data\raw\kaggle\Normal\Normal- (2938).jpg,Normal,Normal- (2938)
data\raw\kaggle\Normal\Normal- (499).jpg,Normal,Normal- (499)
data\raw\kaggle\Normal\Normal- (3015).jpg,Normal,Normal- (3015)
data\raw\kaggle\Normal\Normal- (4950).jpg,Normal,Normal- (4950)
data\raw\kaggle\Normal\Normal- (2844).jpg,Normal,Normal- (2844)
data\raw\kaggle\Normal\Normal- (2505).jpg,Normal,Normal- (2505)
data\raw\kaggle\Normal\Normal- (306).jpg,Normal,Normal- (306)
data\raw\kaggle\Normal\Normal- (163).jpg,Normal,Normal- (163)
data\raw\kaggle\Normal\Normal- (1075).jpg,Normal,Normal- (1075)
data\raw\kaggle\Normal\Normal- (1275).jpg,Normal,Normal- (1275)
data\raw\kaggle\Normal\Normal- (3924).jpg,Normal,Normal- (3924)
data\raw\kaggle\Normal\Normal- (5053).jpg,Normal,Normal- (5053)
data\raw\kaggle\Normal\Normal- (4133).jpg,Normal,Normal- (4133)
data\raw\kaggle\Normal\Normal- (886).jpg,Normal,Normal- (886)
data\raw\kaggle\Normal\Normal- (4966).jpg,Normal,Normal- (4966)
data\raw\kaggle\Normal\Normal- (80).jpg,Normal,Normal- (80)
data\raw\kaggle\Normal\Normal- (2832).jpg,Normal,Normal- (2832)
data\raw\kaggle\Normal\Normal- (2152).jpg,Normal,Normal- (2152)
data\raw\kaggle\Normal\Normal- (2077).jpg,Normal,Normal- (2077)
data\raw\kaggle\Normal\Normal- (387).jpg,Normal,Normal- (387)
data\raw\kaggle\Normal\Normal- (405).jpg,Normal,Normal- (405)
data\raw\kaggle\Normal\Normal- (4032).jpg,Normal,Normal- (4032)
data\raw\kaggle\Normal\Normal- (2490).jpg,Normal,Normal- (2490)
data\raw\kaggle\Normal\Normal- (4708).jpg,Normal,Normal- (4708)
data\raw\kaggle\Normal\Normal- (3477).jpg,Normal,Normal- (3477)
data\raw\kaggle\Normal\Normal- (4464).jpg,Normal,Normal- (4464)
data\raw\kaggle\Normal\Normal- (2615).jpg,Normal,Normal- (2615)
data\raw\kaggle\Normal\Normal- (2625).jpg,Normal,Normal- (2625)
data\raw\kaggle\Normal\Normal- (4980).jpg,Normal,Normal- (4980)
data\raw\kaggle\Normal\Normal- (1573).jpg,Normal,Normal- (1573)
data\raw\kaggle\Normal\Normal- (335).jpg,Normal,Normal- (335)
data\raw\kaggle\Normal\Normal- (1362).jpg,Normal,Normal- (1362)
data\raw\kaggle\Normal\Normal- (2848).jpg,Normal,Normal- (2848)
data\raw\kaggle\Normal\Normal- (2614).jpg,Normal,Normal- (2614)
data\raw\kaggle\Normal\Normal- (2573).jpg,Normal,Normal- (2573)
data\raw\kaggle\Normal\Normal- (270).jpg,Normal,Normal- (270)
data\raw\kaggle\Normal\Normal- (2436).jpg,Normal,Normal- (2436)
data\raw\kaggle\Normal\Normal- (915).jpg,Normal,Normal- (915)
data\raw\kaggle\Normal\Normal- (2367).jpg,Normal,Normal- (2367)
data\raw\kaggle\Normal\Normal- (4919).jpg,Normal,Normal- (4919)
data\raw\kaggle\Normal\Normal- (3945).jpg,Normal,Normal- (3945)
data\raw\kaggle\Normal\Normal- (2926).jpg,Normal,Normal- (2926)
data\raw\kaggle\Normal\Normal- (1091).jpg,Normal,Normal- (1091)
data\raw\kaggle\Normal\Normal- (4230).jpg,Normal,Normal- (4230)
data\raw\kaggle\Normal\Normal- (2285).jpg,Normal,Normal- (2285)
data\raw\kaggle\Normal\Normal- (2534).jpg,Normal,Normal- (2534)
data\raw\kaggle\Normal\Normal- (2761).jpg,Normal,Normal- (2761)
data\raw\kaggle\Normal\Normal- (3443).jpg,Normal,Normal- (3443)
data\raw\kaggle\Normal\Normal- (835).jpg,Normal,Normal- (835)
data\raw\kaggle\Normal\Normal- (3773).jpg,Normal,Normal- (3773)
data\raw\kaggle\Normal\Normal- (3702).jpg,Normal,Normal- (3702)
data\raw\kaggle\Normal\Normal- (3152).jpg,Normal,Normal- (3152)
data\raw\kaggle\Normal\Normal- (5074).jpg,Normal,Normal- (5074)
data\raw\kaggle\Normal\Normal- (2354).jpg,Normal,Normal- (2354)
data\raw\kaggle\Normal\Normal- (3250).jpg,Normal,Normal- (3250)
data\raw\kaggle\Normal\Normal- (1694).jpg,Normal,Normal- (1694)
data\raw\kaggle\Normal\Normal- (681).jpg,Normal,Normal- (681)
data\raw\kaggle\Normal\Normal- (4140).jpg,Normal,Normal- (4140)
data\raw\kaggle\Normal\Normal- (1254).jpg,Normal,Normal- (1254)
data\raw\kaggle\Normal\Normal- (1230).jpg,Normal,Normal- (1230)
data\raw\kaggle\Normal\Normal- (1360).jpg,Normal,Normal- (1360)
data\raw\kaggle\Normal\Normal- (2074).jpg,Normal,Normal- (2074)
data\raw\kaggle\Normal\Normal- (4385).jpg,Normal,Normal- (4385)
data\raw\kaggle\Normal\Normal- (3727).jpg,Normal,Normal- (3727)
data\raw\kaggle\Normal\Normal- (608).jpg,Normal,Normal- (608)
data\raw\kaggle\Normal\Normal- (4046).jpg,Normal,Normal- (4046)
data\raw\kaggle\Normal\Normal- (555).jpg,Normal,Normal- (555)
data\raw\kaggle\Normal\Normal- (4912).jpg,Normal,Normal- (4912)
data\raw\kaggle\Normal\Normal- (873).jpg,Normal,Normal- (873)
data\raw\kaggle\Normal\Normal- (3513).jpg,Normal,Normal- (3513)
data\raw\kaggle\Normal\Normal- (1451).jpg,Normal,Normal- (1451)
data\raw\kaggle\Normal\Normal- (2090).jpg,Normal,Normal- (2090)
data\raw\kaggle\Normal\Normal- (2087).jpg,Normal,Normal- (2087)
data\raw\kaggle\Normal\Normal- (3907).jpg,Normal,Normal- (3907)
data\raw\kaggle\Normal\Normal- (1255).jpg,Normal,Normal- (1255)
data\raw\kaggle\Normal\Normal- (3365).jpg,Normal,Normal- (3365)
data\raw\kaggle\Normal\Normal- (3402).jpg,Normal,Normal- (3402)
data\raw\kaggle\Normal\Normal- (3679).jpg,Normal,Normal- (3679)
data\raw\kaggle\Normal\Normal- (3750).jpg,Normal,Normal- (3750)
data\raw\kaggle\Normal\Normal- (1738).jpg,Normal,Normal- (1738)
data\raw\kaggle\Normal\Normal- (3157).jpg,Normal,Normal- (3157)
data\raw\kaggle\Normal\Normal- (4816).jpg,Normal,Normal- (4816)
data\raw\kaggle\Normal\Normal- (1995).jpg,Normal,Normal- (1995)
data\raw\kaggle\Normal\Normal- (422).jpg,Normal,Normal- (422)
data\raw\kaggle\Normal\Normal- (3540).jpg,Normal,Normal- (3540)
data\raw\kaggle\Normal\Normal- (4868).jpg,Normal,Normal- (4868)
data\raw\kaggle\Normal\Normal- (3206).jpg,Normal,Normal- (3206)
data\raw\kaggle\Normal\Normal- (1782).jpg,Normal,Normal- (1782)
data\raw\kaggle\Normal\Normal- (375).jpg,Normal,Normal- (375)
data\raw\kaggle\Normal\Normal- (910).jpg,Normal,Normal- (910)
data\raw\kaggle\Normal\Normal- (2119).jpg,Normal,Normal- (2119)
data\raw\kaggle\Normal\Normal- (4344).jpg,Normal,Normal- (4344)
data\raw\kaggle\Normal\Normal- (2099).jpg,Normal,Normal- (2099)
data\raw\kaggle\Normal\Normal- (1318).jpg,Normal,Normal- (1318)
data\raw\kaggle\Normal\Normal- (1182).jpg,Normal,Normal- (1182)
data\raw\kaggle\Normal\Normal- (48).jpg,Normal,Normal- (48)
data\raw\kaggle\Normal\Normal- (1455).jpg,Normal,Normal- (1455)
data\raw\kaggle\Normal\Normal- (1430).jpg,Normal,Normal- (1430)
data\raw\kaggle\Normal\Normal- (1857).jpg,Normal,Normal- (1857)
data\raw\kaggle\Normal\Normal- (3579).jpg,Normal,Normal- (3579)
data\raw\kaggle\Normal\Normal- (3641).jpg,Normal,Normal- (3641)
data\raw\kaggle\Normal\Normal- (3011).jpg,Normal,Normal- (3011)
data\raw\kaggle\Normal\Normal- (949).jpg,Normal,Normal- (949)
data\raw\kaggle\Normal\Normal- (3738).jpg,Normal,Normal- (3738)
data\raw\kaggle\Normal\Normal- (4832).jpg,Normal,Normal- (4832)
data\raw\kaggle\Normal\Normal- (2155).jpg,Normal,Normal- (2155)
data\raw\kaggle\Normal\Normal- (1736).jpg,Normal,Normal- (1736)
data\raw\kaggle\Normal\Normal- (2184).jpg,Normal,Normal- (2184)
data\raw\kaggle\Normal\Normal- (2890).jpg,Normal,Normal- (2890)
data\raw\kaggle\Normal\Normal- (4366).jpg,Normal,Normal- (4366)
data\raw\kaggle\Normal\Normal- (3280).jpg,Normal,Normal- (3280)
data\raw\kaggle\Normal\Normal- (1981).jpg,Normal,Normal- (1981)
data\raw\kaggle\Normal\Normal- (3978).jpg,Normal,Normal- (3978)
data\raw\kaggle\Normal\Normal- (367).jpg,Normal,Normal- (367)
data\raw\kaggle\Normal\Normal- (221).jpg,Normal,Normal- (221)
data\raw\kaggle\Normal\Normal- (1109).jpg,Normal,Normal- (1109)
data\raw\kaggle\Normal\Normal- (3331).jpg,Normal,Normal- (3331)
data\raw\kaggle\Normal\Normal- (669).jpg,Normal,Normal- (669)
data\raw\kaggle\Normal\Normal- (1803).jpg,Normal,Normal- (1803)
data\raw\kaggle\Normal\Normal- (3036).jpg,Normal,Normal- (3036)
data\raw\kaggle\Normal\Normal- (4197).jpg,Normal,Normal- (4197)
data\raw\kaggle\Normal\Normal- (1711).jpg,Normal,Normal- (1711)
data\raw\kaggle\Normal\Normal- (424).jpg,Normal,Normal- (424)
data\raw\kaggle\Normal\Normal- (5004).jpg,Normal,Normal- (5004)
data\raw\kaggle\Normal\Normal- (3085).jpg,Normal,Normal- (3085)
data\raw\kaggle\Normal\Normal- (1461).jpg,Normal,Normal- (1461)
data\raw\kaggle\Normal\Normal- (1619).jpg,Normal,Normal- (1619)
data\raw\kaggle\Normal\Normal- (1110).jpg,Normal,Normal- (1110)
data\raw\kaggle\Normal\Normal- (2475).jpg,Normal,Normal- (2475)
data\raw\kaggle\Normal\Normal- (1844).jpg,Normal,Normal- (1844)
data\raw\kaggle\Normal\Normal- (4911).jpg,Normal,Normal- (4911)
data\raw\kaggle\Normal\Normal- (1048).jpg,Normal,Normal- (1048)
data\raw\kaggle\Normal\Normal- (2009).jpg,Normal,Normal- (2009)
data\raw\kaggle\Normal\Normal- (502).jpg,Normal,Normal- (502)
data\raw\kaggle\Normal\Normal- (2211).jpg,Normal,Normal- (2211)
data\raw\kaggle\Normal\Normal- (2509).jpg,Normal,Normal- (2509)
data\raw\kaggle\Normal\Normal- (1586).jpg,Normal,Normal- (1586)
data\raw\kaggle\Normal\Normal- (4292).jpg,Normal,Normal- (4292)
data\raw\kaggle\Normal\Normal- (103).jpg,Normal,Normal- (103)
data\raw\kaggle\Normal\Normal- (3503).jpg,Normal,Normal- (3503)
data\raw\kaggle\Normal\Normal- (4062).jpg,Normal,Normal- (4062)
data\raw\kaggle\Normal\Normal- (1469).jpg,Normal,Normal- (1469)
data\raw\kaggle\Normal\Normal- (1740).jpg,Normal,Normal- (1740)
data\raw\kaggle\Normal\Normal- (4101).jpg,Normal,Normal- (4101)
data\raw\kaggle\Normal\Normal- (2986).jpg,Normal,Normal- (2986)
data\raw\kaggle\Normal\Normal- (4316).jpg,Normal,Normal- (4316)
data\raw\kaggle\Normal\Normal- (3749).jpg,Normal,Normal- (3749)
data\raw\kaggle\Normal\Normal- (3803).jpg,Normal,Normal- (3803)
data\raw\kaggle\Normal\Normal- (3649).jpg,Normal,Normal- (3649)
data\raw\kaggle\Normal\Normal- (4260).jpg,Normal,Normal- (4260)
data\raw\kaggle\Normal\Normal- (2066).jpg,Normal,Normal- (2066)
data\raw\kaggle\Normal\Normal- (1961).jpg,Normal,Normal- (1961)
data\raw\kaggle\Normal\Normal- (4661).jpg,Normal,Normal- (4661)
data\raw\kaggle\Normal\Normal- (3469).jpg,Normal,Normal- (3469)
data\raw\kaggle\Normal\Normal- (2560).jpg,Normal,Normal- (2560)
data\raw\kaggle\Normal\Normal- (4054).jpg,Normal,Normal- (4054)
data\raw\kaggle\Normal\Normal- (4887).jpg,Normal,Normal- (4887)
data\raw\kaggle\Normal\Normal- (4065).jpg,Normal,Normal- (4065)
data\raw\kaggle\Normal\Normal- (4233).jpg,Normal,Normal- (4233)
data\raw\kaggle\Normal\Normal- (21).jpg,Normal,Normal- (21)
data\raw\kaggle\Normal\Normal- (4836).jpg,Normal,Normal- (4836)
data\raw\kaggle\Normal\Normal- (591).jpg,Normal,Normal- (591)
data\raw\kaggle\Normal\Normal- (394).jpg,Normal,Normal- (394)
data\raw\kaggle\Normal\Normal- (3971).jpg,Normal,Normal- (3971)
data\raw\kaggle\Normal\Normal- (4769).jpg,Normal,Normal- (4769)
data\raw\kaggle\Normal\Normal- (4084).jpg,Normal,Normal- (4084)
data\raw\kaggle\Normal\Normal- (2005).jpg,Normal,Normal- (2005)
data\raw\kaggle\Normal\Normal- (821).jpg,Normal,Normal- (821)
data\raw\kaggle\Normal\Normal- (2993).jpg,Normal,Normal- (2993)
data\raw\kaggle\Normal\Normal- (182).jpg,Normal,Normal- (182)
data\raw\kaggle\Normal\Normal- (1811).jpg,Normal,Normal- (1811)
data\raw\kaggle\Normal\Normal- (3871).jpg,Normal,Normal- (3871)
data\raw\kaggle\Normal\Normal- (1581).jpg,Normal,Normal- (1581)
data\raw\kaggle\Normal\Normal- (2576).jpg,Normal,Normal- (2576)
data\raw\kaggle\Normal\Normal- (1310).jpg,Normal,Normal- (1310)
data\raw\kaggle\Normal\Normal- (3692).jpg,Normal,Normal- (3692)
data\raw\kaggle\Normal\Normal- (4115).jpg,Normal,Normal- (4115)
data\raw\kaggle\Normal\Normal- (737).jpg,Normal,Normal- (737)
data\raw\kaggle\Normal\Normal- (2369).jpg,Normal,Normal- (2369)
data\raw\kaggle\Normal\Normal- (3065).jpg,Normal,Normal- (3065)
data\raw\kaggle\Normal\Normal- (1777).jpg,Normal,Normal- (1777)
data\raw\kaggle\Normal\Normal- (2030).jpg,Normal,Normal- (2030)
data\raw\kaggle\Normal\Normal- (2942).jpg,Normal,Normal- (2942)
data\raw\kaggle\Normal\Normal- (90).jpg,Normal,Normal- (90)
data\raw\kaggle\Normal\Normal- (2485).jpg,Normal,Normal- (2485)
data\raw\kaggle\Normal\Normal- (4926).jpg,Normal,Normal- (4926)
data\raw\kaggle\Normal\Normal- (1836).jpg,Normal,Normal- (1836)
data\raw\kaggle\Normal\Normal- (3852).jpg,Normal,Normal- (3852)
